cnpj,cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_de_inicio_atividade,cnae_fiscal_principal,uf,município,natureza_juridica,capital_social_da_empresa,porte_da_empresa,descricao,denominacoes
32011837000122,32011837,MATRIZ,ATIVA,2023-03-08,20181113,4781400,SP,6425,2135,"3000,00",MICRO EMPRESA,Comércio varejista de artigos do vestuário e acessórios,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32012390000106,32012390,MATRIZ,ATIVA,2023-04-13,20181113,4930201,SP,7107,2135,"10000,00",MICRO EMPRESA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32015397000181,32015397,MATRIZ,ATIVA,2023-01-11,20181113,4754703,SP,6357,2135,"5000,00",MICRO EMPRESA,Comércio varejista de artigos de iluminação,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32017134000101,32017134,MATRIZ,ATIVA,2023-04-24,20181113,9602501,SP,6687,2135,"1000,00",MICRO EMPRESA,"Cabeleireiros, manicure e pedicure","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32019848000159,32019848,MATRIZ,ATIVA,2023-11-23,20181114,7319002,SP,6953,2135,"1000,00",MICRO EMPRESA,Promoção de vendas,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32024736000196,32024736,MATRIZ,ATIVA,2023-05-26,20181114,3101200,SP,6477,2135,"1000,00",MICRO EMPRESA,Fabricação de móveis com predominância de madeira,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32025042000173,32025042,MATRIZ,ATIVA,2023-01-25,20181114,4923001,SP,7107,2135,"5000,00",MICRO EMPRESA,Serviço de táxi,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32027343000136,32027343,MATRIZ,ATIVA,2023-03-14,20181114,4520001,SP,7107,2135,"3000,00",MICRO EMPRESA,Serviços de manutenção e reparação mecânica de veículos automotores,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32029733000145,32029733,MATRIZ,ATIVA,2023-05-17,20181115,9512600,SP,6593,2135,"1000,00",MICRO EMPRESA,Reparação e manutenção de equipamentos de comunicação,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32029960000170,32029960,MATRIZ,ATIVA,2023-05-29,20181115,9602501,SP,6425,2135,"1000,00",MICRO EMPRESA,"Cabeleireiros, manicure e pedicure","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32035660000102,32035660,MATRIZ,ATIVA,2023-03-31,20181116,4772500,SP,6291,2135,"10000,00",MICRO EMPRESA,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal","ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
